mem,bandwidth(MB/ms)
101384192,10.13
101449728,10.53
101515264,10.55
101580800,10.55
101646336,10.48
101711872,10.51
101777408,10.54
101842944,10.52
101908480,10.53
101974016,10.53
102039552,10.55
102105088,10.48
102170624,10.55
102236160,10.53
102301696,10.51
102367232,10.56
102432768,10.13
102498304,10.53
102563840,10.52
102629376,10.55
102694912,10.06
102760448,10.54
102825984,10.5
102891520,10.54
102957056,10.08
103022592,10.54
103088128,10.55
103153664,10.55
103219200,10.15
103284736,10.55
103350272,10.51
103415808,10.54
103481344,10.06
103546880,10.55
103612416,10.28
103677952,7.13
103743488,9.86
103809024,10.1
103874560,10.18
103940096,9.77
104005632,10.2
104071168,10.2
104136704,8.16
104202240,10.21
104267776,10.22
104333312,10.2
104398848,10.22
104464384,10.19
104529920,10.21
104595456,10.2
104660992,10.21
104726528,7.99
104792064,10.18
104857600,10.16
104923136,10.2
104988672,10.16
105054208,10.19
105119744,10.22
105185280,10.21
105250816,9.8
105316352,10.22
105381888,10.21
105447424,10.2
105512960,8.04
105578496,10.2
105644032,10.2
105709568,10.2
105775104,10.17
105840640,10.19
105906176,10.18
105971712,10.18
106037248,9.92
106102784,10.2
106168320,10.19
106233856,10.14
106299392,10.17
106364928,10.21
106430464,10.19
106496000,8.04
106561536,10.17
106627072,10.21
106692608,10.2
106758144,10.19
106823680,9.77
106889216,10.2
106954752,10.15
107020288,10.18
107085824,10.17
107151360,10.19
107216896,10.21
107282432,10.14
107347968,9.75
107413504,10.21
107479040,10.2
107544576,10.21
107610112,9.78
107675648,10.2
107741184,8.48
107806720,10.2
107872256,10.2
107937792,10.15
108003328,9.98
108068864,10.04
108134400,10.08
108199936,10.14
108265472,10.17
108331008,9.69
108396544,10.12
108462080,10.15
108527616,10.18
108593152,9.79
108658688,10.2
108724224,10.19
108789760,9.7
108855296,9.61
108920832,9.92
108986368,9.92
109051904,10.06
109117440,9.54
109182976,10.08
109248512,10.16
109314048,10.17
109379584,10.18
109445120,10.2
109510656,10.18
109576192,10.21
109641728,10.2
109707264,10.19
109772800,10.19
109838336,10.19
109903872,9.91
109969408,10.19
110034944,10.18
110100480,10.14
110166016,9.81
110231552,10.2
110297088,10.2
110362624,10.2
110428160,10.21
110493696,10.03
110559232,10.01
110624768,9.98
110690304,10.08
110755840,10.16
110821376,10.18
110886912,9.97
110952448,9.62
111017984,10.05
111083520,9.74
111149056,10.11
111214592,9.99
111280128,9.97
111345664,9.89
111411200,10.03
111476736,10.03
111542272,9.92
111607808,9.98
111673344,10.08
111738880,10.15
111804416,10.18
111869952,10.19
111935488,10.18
112001024,10.18
112066560,10.16
112132096,10.18
112197632,10.18
112263168,9.84
112328704,10.19
112394240,10.17
112459776,10.17
112525312,10.2
112590848,10.21
112656384,10.21
112721920,9.8
112787456,10.01
112852992,10.15
112918528,10.02
112984064,10.16
113049600,10.17
113115136,8.28
113180672,9.88
113246208,10.17
113311744,10.15
113377280,10.17
113442816,10.2
113508352,10.19
113573888,10.19
113639424,10.2
113704960,10.2
113770496,10.08
113836032,9.63
113901568,10.1
113967104,9.92
114032640,10.11
114098176,10.03
