mem,bandwidth(MB/ms)
69795840,10.3
69861376,10.3
69926912,10.29
69992448,10.31
70057984,10.29
70123520,10.29
70189056,10.28
70254592,9.7
70320128,10.28
70385664,10.28
70451200,10.3
70516736,10.29
70582272,9.81
70647808,10.31
70713344,10.31
70778880,10.31
70844416,10.3
70909952,10.3
70975488,9.77
71041024,10.29
71106560,10.29
71172096,10.29
71237632,10.25
71303168,10.27
71368704,10.25
71434240,10.28
71499776,10.29
71565312,10.3
71630848,10.29
71696384,10.28
71761920,10.3
71827456,10.3
71892992,10.31
71958528,10.28
72024064,10.28
72089600,10.27
72155136,10.28
72220672,10.27
72286208,10.26
72351744,10.28
72417280,10.24
72482816,10.28
72548352,10.29
72613888,10.29
72679424,10.31
72744960,10.26
72810496,10.3
72876032,10.31
72941568,10.3
73007104,10.3
73072640,10.3
73138176,9.72
73203712,10.29
73269248,10.27
73334784,10.25
73400320,10.18
73465856,10.24
73531392,10.28
73596928,10.29
73662464,10.28
73728000,10.29
73793536,10.29
73859072,10.3
73924608,10.3
73990144,10.29
74055680,10.27
74121216,10.2
74186752,10.28
74252288,10.27
74317824,10.28
74383360,10.27
74448896,10.22
74514432,9.8
74579968,10.28
74645504,10.28
74711040,10.28
74776576,10.26
74842112,10.27
74907648,10.28
74973184,10.3
75038720,10.29
75104256,10.28
75169792,10.2
75235328,10.28
75300864,10.28
75366400,10.27
75431936,10.26
75497472,10.25
75563008,10.26
75628544,10.28
75694080,10.27
75759616,10.24
75825152,10.29
75890688,10.29
75956224,10.3
76021760,10.3
76087296,10.28
76152832,9.5
76218368,10.28
76283904,10.29
76349440,10.26
76414976,10.26
76480512,9.79
76546048,10.26
76611584,10.21
76677120,10.26
76742656,10.26
76808192,9.76
76873728,10.28
76939264,10.29
77004800,10.29
77070336,10.28
77135872,9.73
77201408,10.28
77266944,10.28
77332480,10.25
77398016,10.27
77463552,9.79
77529088,10.27
77594624,10.25
77660160,10.27
77725696,8.08
77791232,10.26
77856768,10.28
77922304,10.29
77987840,10.27
78053376,10.29
78118912,10.24
78184448,10.27
78249984,10.27
78315520,10.28
78381056,10.27
78446592,10.24
78512128,10.25
78577664,10.26
78643200,10.26
78708736,10.26
78774272,10.25
78839808,10.26
78905344,10.27
78970880,10.28
79036416,10.28
79101952,10.26
79167488,10.27
79233024,10.27
79298560,10.26
79364096,10.26
79429632,10.25
79495168,10.25
79560704,10.26
79626240,10.25
79691776,10.25
79757312,10.24
79822848,10.26
79888384,10.28
79953920,10.27
80019456,10.27
80084992,10.22
80150528,10.27
80216064,10.27
80281600,10.26
80347136,10.27
80412672,10.24
80478208,10.26
80543744,10.25
80609280,10.26
80674816,10.21
80740352,10.21
80805888,10.25
80871424,10.25
80936960,10.26
81002496,10.26
81068032,10.25
81133568,10.27
81199104,10.27
81264640,10.25
81330176,10.26
81395712,9.92
81461248,10.25
81526784,10.25
81592320,10.25
81657856,10.24
81723392,10.17
81788928,10.14
81854464,10.21
81920000,10.23
81985536,10.24
82051072,9.67
82116608,10.25
82182144,10.27
82247680,10.27
82313216,10.26
82378752,10.25
82444288,10.26
82509824,10.26
82575360,10.22
82640896,10.22
82706432,9.69
82771968,10.2
82837504,10.22
82903040,10.24
82968576,10.25
83034112,10.22
83099648,10.26
83165184,10.27
83230720,10.28
83296256,10.21
83361792,9.7
83427328,10.23
83492864,10.26
83558400,10.24
83623936,10.24
83689472,9.8
83755008,10.24
83820544,10.24
83886080,10.21
83951616,10.21
